Cantidad de Nodos;Cantidad de Ejes;Tiempo generando Mst;Tiempo calculando raiz
5;10;1e-05;1.1e-05
5;10;7e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;7e-06
5;10;6e-06;5e-06
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;5e-06;7e-06
5;10;5e-06;6e-06
5;10;5e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;5e-06
5;10;5e-06;5e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;5e-06
5;10;5e-06;6e-06
5;10;5e-06;1.6e-05
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;5e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;5e-06;5e-06
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;5e-06;6e-06
5;10;6e-06;6e-06
5;10;6e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;6e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;6e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;6e-06;7e-06
6;15;6e-06;6e-06
6;15;7e-06;7e-06
6;15;8e-06;8e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;7e-06
6;15;7e-06;6e-06
6;15;6e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;7e-06;6e-06
6;15;8e-06;6e-06
7;21;1e-05;7e-06
7;21;1e-05;7e-06
7;21;1e-05;7e-06
7;21;1e-05;7e-06
7;21;1.1e-05;7e-06
7;21;1e-05;6e-06
7;21;1e-05;7e-06
7;21;9e-06;7e-06
7;21;9e-06;7e-06
7;21;9e-06;6e-06
7;21;9e-06;7e-06
7;21;9e-06;7e-06
7;21;8e-06;6e-06
7;21;9e-06;6e-06
7;21;9e-06;7e-06
7;21;9e-06;7e-06
7;21;9e-06;6e-06
7;21;8e-06;6e-06
7;21;8e-06;7e-06
7;21;9e-06;6e-06
7;21;9e-06;7e-06
7;21;9e-06;7e-06
7;21;1.1e-05;7e-06
7;21;8e-06;6e-06
7;21;8e-06;6e-06
7;21;9e-06;7e-06
7;21;9e-06;6e-06
7;21;9e-06;7e-06
7;21;9e-06;7e-06
7;21;9e-06;7e-06
7;21;9e-06;7e-06
